product_code;active;name;price;vat;unit;category;barcode;weight;producer;pkwiu;gauge;priority;short_description;description;stock;availability;delivery;"images 1";"images 2";"images 3";"images 4";"images 5";"images 6";"images 7";"images 8";"images 9";"images 10";"images 11";"images 12";"images 13";"images 14";"images 15";currency;seo_url
HD.323.02.04.S;1;"Cross Bar Holder Ø12/Ø42,4mm, left, AISI 304, SATIN";5.54;23%;pcs.;"Crossbar holders > For pipe 12mm";;0.1;RXPOLSKA;;"Mini do <1,5m";500;;"<ul>  <li>End bracket for pipe mounting Ø 12 mm (left)</li>  <li>Surface mounting - Ø 42.4 mm</li>  <li>Adjustable angle of filling</li>  <li>Surface satin(matte)</li>  <li>Material - AISI 304 </li>  <li>Mounting with DIN 7991 M6 or M5 screws (without fixing screws included)</li>  </ul>";8203;auto;"24 h";https://example.com/image1.jpg;https://example.com/image2.jpg;;;;;;;;;;PLN;
HD.313.02.04.S;1;"Cross Bar Holder, right, final, for tube Ø12mm/Ø42,4mm, AISI 304, SATIN";5.54;23%;pcs.;"Crossbar holders > For pipe 12mm";;0.1;RXPOLSKA;;"Mini do <1,5m";600;;"<ul>  <li>End bracket for assembly for Ø 12 mm pipe (right)</li>  <li>Surface mounting - Ø 42.4 mm</li>  <li>Adjustable angle of the fill</li>  <li>Surface satin (matte)</li>  <li>Material - stainless steel AISI 304</li>  <li>Mounting with DIN 7991 M6 or M5 screw (no screw included)</li>  </ul>";8324;auto;"24 h";https://example.com/image1.jpg;https://example.com/image2.jpg;;;;;;;;;;PLN;
